job_id,job_title,job_organization_name,job_snippet_text,source_url,job_search_term,location_search_term,full_url
a9a583f64d9a43450613ba46b29590f3,Class A CDL Driver,RIRI EXPRESS,b'...CLEAN RECORD -LOOKING FOR SERIOUS CLASS A DRIVERS - GREAT HOME TIME',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAKT4OxKcwEq5eTfXNsCKuNNFoyUAO2BbdlOFVDIc5HxyDtABOR7Zdu11ebJtie6Odc5iOgKNtGcfNpvZLGZdP8M20SEPSTY4kdCUPFIPCt8ab8k-MQW_oppZIsRKHdWW1XX1Q-b7OvQblR-hGLlHChWyw4g0boOjeRhCdYAmgO3RUuTRvgVctVdYwmGdik
c7ec0ac810c828effee9219c9222c1b6,Great $$$! Home weekly!,Brite Logistics,b'...Clean record',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/ek/l/AAIa22P0rfBVmHtRnFJXh4tOJLgdlrS8cW7Wxl8CSRDztsjrFW69MjHlczcBkATsZwMOpl25ZU8BzyMGFcXUoqQPR1ldFE4vY2QH-Te6EGQZ00AHztd4CopkzzPEcCLAydunBJdmyCKcVfz9jRZftBGQmM2MX74WzsSprjknl6hBcNtOqMrCPrTm3QN-XGQ
0fb3adb484201b4f2d5722bc94ed89a3,CDL Class A Driver,Birsan Express inc,b'Illinois based trucking company is looking to hire A CDL driver with a minimum 2 years of experience and a clean record. We ask for professionalism and responsibility and offer instead a friendly...',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAJM4tQhh3ys-usjB8iQuwar9FSudbk7SgX5jiSNpEYhao0UAiangw1zIYOeI2Bm7-NEHyVURAeeExDIDXI4eD8OcEqfIAkfmM5HAuefe_-OFnxjLVcct4byHHF3u3WBHlOvKB6hIVIFM0LQQodZaHNx5RsA5yGE5ly4VGutkg0wYK9aRKxN0i-Stbp_bAI
edb1286ed6786103f1b33cfc9574c193,Truck Driver - Consistent Home Time - Competitive Pay - Great Benefits,C.R. England - Company Drivers,"b'R. England is seeking drivers with a safe and clean record that can handle 18 wheels, 40 tons, and 400 horsepower. If that sounds anything like you--Apply Now. As a National Driver with C.R England...'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAKReOAXa-x4f3CI2vsUzDzBpDMTtkPRQJN7WBRtQkPlGtDjzViHCuHKX07gjgdrCvif5-ir4Efq4HMMbuQsa7w1uZipll6TxU-2LQnSoz3Z__MR9pXJM-3P6Yi1g8XkUL7V3xXaSRKEmTt5Z_QZTzlIos7zygy7hTBj348moLjksBivzTAky5XR14-kUGw
c19b04d8bcf180da9d35d57409b286d6,Parts Counter Sales,Aston Martin of Chicago,"b""Must posses a driver's license with a clean record and pass a background check. What We Offer: * Family Owned and Operated * Growth Opportunities * Medical, Dental, and Vision Insurance * Accrued...""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAJF767EOaV1cVd3EhBkWsi_k1kDNfat9VAOQ5Rb2sUqlBriibUUGOywOE4PNK1dB6s4lPxV2Jc1DlUkb5Edcv619X7P-8KhJd3dAbk9ZaTx68_Yu3i2RDed1dVlcRol0yTTjjs7ivHxWoUDH3yDSp5WAC86UkZi1Q0soU39L7YkmhC7hmyxy3_wKXgOoKE
9c46356fadd56343cd7b92c90319839d,Attic Insulation Installation Technician,AAA Northgate Heating & Air,"b""Current driver's license with a clean record (Class C not required, but is a plus) * Can pass drug screening and background check * Physically able to lift 50 pounds overhead and work in confined...""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAL9XQT0vhudnjnWWZ6sRbCO5XBE5pOeevRaAiRQIBGGlOjFomJMQEpaA7kNAdZjhl6OEy_Na8oFt4YXTnnRC96nWdav_uikQir-vrvQjwzUkh6wohGjYELkbDcgELL-rMshIHBJzsH_LcEhSlmz_75taiN_7B0h9dbvIV1rrZS8yMcOnSgyUWgGPf5rh98
f9c850c8241e8beccef128acb5e100ed,Mitigation Technician,Paul Davis Restoration of Will and SW Cook County,"b""Valid driver's license with a clean record * Have the ability to work nights/weekends and overtime, if needed * Ability to lift 75 LBS frequently * Desire to continually learn new things Role on the...""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAIwcyFRRd4_-F01f3CarrrSV8NCNM52XQ1KAevFIKfLtn4bl2YSEERQZswBCj5SsT_MydLO80yZXG-Soaz2B3Hrt_xmQtbYCOEB7KrCkaLg6vzpPAo1nc_knzLipHPEbH_RCxhj3pRhIkaXKQKtGghZKVkKauoTPLPo7okCDjek3PnVD9_I8vCWWbs1fYE
4f28fb02ff84cdb87494a44248384bec,Sales Guru,Surface Experts,b'...clean record) References made available upon request Must pass a background test including drug test',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAI8Ht1BiGAeZ7eDIOXLoAgwv0jIX3uxq1IC-S6M-aWCuw62QqStwppL8DcKzQu_b-ZfnvS4Vx8S6nETOZgfaL4966xXo4Nm2QQ5i52el7yQlbO8DiX054LQm2ue-OqOYTet17eBV525oZyRrlPRlErO3ENHt2Ggc-nUWk-kSbMy4qzeo25kqwj3zgREKgI
7cbd10d32e9a89ea69392b26c3c5b47a,Armed Security Patrol,Global Security Group Corp.,"b'Valid DL with clean record for the past 10 years * Must be able too write clear and accurate reports * Must pass Global Security Group Firearms Training Program Job Types: Full-time, Part-time...'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAKGtniFEC5Kg7zeFrzTPIGE_UbfF840oY3-0Pc888Nz3QPk2M5tEPlDmr3Gnonr0UzD0kDWj2SUrO0jf3zsWHl_Rwp5abj56vksjkId5jtUipY_oCL4pEK3pcSVlX7uvt5Stlaal0xjO48tMOJa-4Vc2sYZZEs63OWylWV3QaFkCdarY7gCx0ArjO9nBvk
5150e902096fa07c9ea69be1b91d4748,Driver,Kuusakoski US,"b""Class C Valid Driver's Licenses with clean record. * High School Diploma or GED required. * Basic computer knowledge, efficient in MS Work and Excel. * Neat, professional appearance. * Exceptional...""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAIkt9RpUoN06GP6wge6qt2kRx31lx73cbmoqUdtAkJ2sJPa0TE53KVvC039_EfoUJ1Ld41mGq5HZdSZYwj-hZ7safs5NVaDBUQPzK9twLmAStJga9cZugpiVsufu8eDvh0XhQw0SetNLvp6OjOBS2VB3uQf99eSk99-iNm24DM4f3ISsH4daVdOKM1nYQPk
